tweet_ID Text Location Time_Stamp
1056693426408882177|RT @vonHavaneser: Ich mache den Hampelmann beim Workout #sport https://t.co/zo46wbiPjT||Sun Oct 28 23:45:19 +0000 2018
1056693400374775810|F1&gt;Formule 1 - Est-ce que le titre peut chapper  Hamilton?:Dans...https://t.co/6RDAwU1XZP #sport https://t.co/ho2IoVkPfX|Paris|Sun Oct 28 23:45:13 +0000 2018
1056693284976889858|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men|91 |Sun Oct 28 23:44:46 +0000 2018
1056693247853187080|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men|République Démocratique Du Con|Sun Oct 28 23:44:37 +0000 2018
1056693184733028353|RT @FrenchBarcelona: #SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a men|Rueil-Malmaison, France|Sun Oct 28 23:44:22 +0000 2018
1056693139413626881|#SportAl carrer !Le Bara met une manita historique au Real et provoque la destitution de Lopetegui.Surez a https://t.co/bUe44GEM6U|Camp Nou|Sun Oct 28 23:44:11 +0000 2018
1056692980491333632|RT @pauljevans1212: THE TOP #VPN - OPEN IPTV/GEOLOCKED STREAMING SITES WITHOUT DELAY. 14 DAY FREE TRIAL (NO DEBIT/CREDIT CARDS REQUIRED) VI|Global, World|Sun Oct 28 23:43:33 +0000 2018
1056692977379278849|THE TOP #VPN - OPEN IPTV/GEOLOCKED STREAMING SITES WITHOUT DELAY. 14 DAY FREE TRIAL (NO DEBIT/CREDIT CARDS REQUIRED https://t.co/PIL6xLMsw0|UK|Sun Oct 28 23:43:32 +0000 2018
1056692756800856065|RT @VIATHEMA: Ugo Zagato behind the wheel of one of two produced 1932 #Maserati #Tipo V4 16 Cylinder just after finishing the two-tone gree|Táchira-Venezuela|Sun Oct 28 23:42:40 +0000 2018
1056692507709489155|#para #mas #fotos #cute  #muyrica #chica #2016 #siguemeytesigo #fortnite #humpdaywednesday #abs #body #peache #camo https://t.co/lucr9gg44R||Sun Oct 28 23:41:40 +0000 2018
1056692251009732608|RT @gaelynnwoods: #House &amp; #land #forsale in #Texas. Perfect for #retirement or #kids - great #school. #ATV / #hunt / #farm / #fish / #spor|New York|Sun Oct 28 23:40:39 +0000 2018
1056692105169563648|Sport:Wentz threw 3 TD passes as Eagles defeated Jaguars 24-18&gt; L &gt;&gt; https://t.co/E8YQCMVUt5 #sport https://t.co/dyKx039Lxe|New York, NY, United States|Sun Oct 28 23:40:04 +0000 2018
1056692024450183168|RT @BiometricAPI: Does #sport Have Its Finger On The Pulse Of Biometrics? via @forbes https://t.co/YGAyaewb9F #sports #biometric #biometric|Domain name for Sale |Sun Oct 28 23:39:45 +0000 2018
1056691732929306624|"Jets Dont Turn the Ball Over, or Do Much With It at All, vs. Bears." #sport By @IsaacChartier2 https://t.co/AGsVwNcMvh|Spain|Sun Oct 28 23:38:36 +0000 2018
1056691698825420806|Happy Monday #sports #sport #active #fit #waterpolo #football #soccer #basketball #futball #ball #gametime #fun https://t.co/chF0gR0StC|Hobart, Tasmania, Australia|Sun Oct 28 23:38:28 +0000 2018
1056691268238098434|Now its turn to #NassimSahili to enjoy the Elgo Leaders presence!  Thanks to everyone  #Elgo #ElgoDance https://t.co/m04gpoiRS8||Sun Oct 28 23:36:45 +0000 2018
1056691014860263424|CHD Kompakthanteln Guss - 50 kg https://t.co/iyPCBmFYCy verkauft nach #Dortmund  #personaltraining #gymlife https://t.co/CLDTk6h4QW|41849 Wassenberg (DE)|Sun Oct 28 23:35:44 +0000 2018
1056690903270768641|RT @cfbcity: Monday 29th October 2018Sport Back Pages in gif format #Sport #tomorrowspaperstoday https://t.co/mPnif5BZzk|Moville Co.Donegal|Sun Oct 28 23:35:18 +0000 2018
1056690387006439424|THE ELITE #VPN - ACCESS IPTV/GEOLOCKED WEBSITES TODAY. 14 DAY FREE TRIAL (NO DEBIT/CREDIT CARDS NECESSARY) VISIT: https://t.co/6vvFzIKQ9m|UK|Sun Oct 28 23:33:15 +0000 2018
1056690080406851585|#Fussball - #Arsenal-Serie reit im Derby - #Chelsea weiterhin auf Kurs#Sport #Fuball #England #Premier https://t.co/Jp4DUMnHsD|Berlin|Sun Oct 28 23:32:02 +0000 2018
1056690072735629313|Synthwave 80s music for videos ! CHECK IT OUT  https://t.co/6gFwRQfJQA  #synthwave #synth #Retro #80smusic #80s https://t.co/lSDaG2OGsY|France|Sun Oct 28 23:32:00 +0000 2018
1056689897506045957|RT @125Jagger: Lo mejor del #Rock te espera aqu en Jagger con nuestra seleccin y bandas en vivo! #Tuxtla #Sport #Bar #Jaggerismo https://|Tuxtla Gutiérrez, Chiapas|Sun Oct 28 23:31:18 +0000 2018
1056689862265487362|Football &gt; Saracens v Leicester Tigers - Premiership Rugby Cup Po -&gt; https://t.co/Yp2UXJLrVh #sport https://t.co/CQhCDu6hOv|Paris|Sun Oct 28 23:31:10 +0000 2018
1056689830975938560|#House &amp; #land #forsale in #Texas. Perfect for #retirement or #kids - great #school. #ATV / #hunt / #farm / #fish / https://t.co/kUmwahMwcy|East Texas|Sun Oct 28 23:31:02 +0000 2018
1056689793143369729|Continua la corsa in solitaria della capolista Juventus mentre il Napoli viene "bloccato" sul pari dalla Roma#PPOL https://t.co/TCMmMDjEk8|Bologna|Sun Oct 28 23:30:53 +0000 2018
1056689770418573313|Monday 29th October 2018Sport Back Pages in gif format #Sport #tomorrowspaperstoday https://t.co/mPnif5BZzk|Manchester 🐝 MCFC |Sun Oct 28 23:30:48 +0000 2018
1056689635387207680|RT @Luka_Pavlovic_: #Dimanche en famille ... Ce soir classico #OMPSG .... Et demain #CNE pour 1 mois ! Et pas nimporte quel mois ! 1 mois||Sun Oct 28 23:30:16 +0000 2018
1056689555389083649|#SHAME .@YouTube   You Are #Promoting #Profiting #Participating In #Murder4Profit Of #Defenseless #Animals vers https://t.co/mC8i4BOGgP||Sun Oct 28 23:29:57 +0000 2018
1056689016572121089|YUVAIKA Diseado para ti.@YuvaikaModaDisfraces por Halloween.Pedido al997 859 859Modelo: Angie Photos: https://t.co/EAkiZNvGlf|La Molina, Lima-Perú|Sun Oct 28 23:27:48 +0000 2018
1056688999912206336|RT @pauljevans1212: THE BEST #VPN - UNLOCK IPTV/GEOLOCKED  WITHOUT DELAY. 14 DAY TEST RUN (NO DEBIT/CREDIT CARDS NECESSARY) CLICK HERE: htt|Global, World|Sun Oct 28 23:27:44 +0000 2018
1056688995567050753|THE BEST #VPN - UNLOCK IPTV/GEOLOCKED  WITHOUT DELAY. 14 DAY TEST RUN (NO DEBIT/CREDIT CARDS NECESSARY) CLICK HERE: https://t.co/hPB7Not0vx|UK|Sun Oct 28 23:27:43 +0000 2018
1056688714632650752|RT @HendonCollege: When the sun goes down, we come out to play! ....#Hendoncollege #Hendon #sciencetechnology #school #learn #sunda||Sun Oct 28 23:26:36 +0000 2018
1056688705438654464|#LNBP  Marcador 3er Cuarto @LibertadoresQro VS @PanterasAgs #Temporada20182019 #LNBP20182019   https://t.co/WvTX3iSm0Q|México|Sun Oct 28 23:26:34 +0000 2018
1056688567252971521|RT @pauljevans1212: THE TOP #VPN - ACCESS IPTV/GEOLOCKED SITES TODAY. 14 DAY FREE TRIAL (NO DEBIT/CREDIT CARDS NECESSARY) GOTO: https://t.c|Global, World|Sun Oct 28 23:26:01 +0000 2018
1056688563948003328|THE TOP #VPN - ACCESS IPTV/GEOLOCKED SITES TODAY. 14 DAY FREE TRIAL (NO DEBIT/CREDIT CARDS NECESSARY) GOTO: https://t.co/ZJms2MTTYy|UK|Sun Oct 28 23:26:00 +0000 2018
