tweet_id|datetime|city|state|country|gps|polygon|tweet
902395552524095490|2017-08-29 00:00:40|Houston|Alief, TX|United States|null|(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),|@tmobile we need some data during these bad times #hurricaneharvey 💯🤘🏾🙏🏾🙌🏾
902395699832033280|2017-08-29 00:01:15|Los Angeles|Los Angeles, CA|United States|null|(33.704538,-118.668404),(34.337041,-118.668404),(34.337041,-118.155409),(33.704538,-118.155409),|these tweets abt #hurricaneharvery make me so sad i'm in cali & cant do nothing to help
902395857034649600|2017-08-29 00:01:52|Los Angeles|San Pedro~Los Angeles|United States|null|(33.704538,-118.668404),(34.337041,-118.668404),(34.337041,-118.155409),(33.704538,-118.155409),|pls if u can donate 2 @austinpetsalive ,they r helping w/animals also affected by #houstonflood #hurricaineharvey #harveyflood
902395889490251778|2017-08-29 00:02:00|Pennsylvania|hustle for your last name✔️|United States|null|(39.719801,-80.519851),(42.516072,-80.519851),(42.516072,-74.689517),(39.719801,-74.689517),|chris breezy doin his part to help houston #hurricaneharvery donating 100k  https://t.co/cvflydmc7f
902395910755237889|2017-08-29 00:02:05|Ogden|Ogden, UT|United States|null|(41.149594,-112.025874),(41.286003,-112.025874),(41.286003,-111.904265),(41.149594,-111.904265),|we have a call of distress & possible rescue need. use # #harveyrescue #harveysos  these #'s are being monitored &… https://t.co/okmotb20ti
902395914182164480|2017-08-29 00:02:06|San Antonio|♋️|United States|null|(29.141956,-98.778559),(29.693046,-98.778559),(29.693046,-98.302744),(29.141956,-98.302744),|does anyone know of anywhere we can volunteer to help w/ hurricane harvey in anyway ?
902396027994439680|2017-08-29 00:02:33|Nashville|Denver, CO|United States|null|(35.994568,-87.022482),(36.405448,-87.022482),(36.405448,-86.560616),(35.994568,-86.560616),|boats to the rescue - thanks to all those who have helped rescue dogs, cats and other animals from #harvey flood wa… https://t.co/lmpubypepb
902396119321378816|2017-08-29 00:02:55|Davenport|Davenport, IA|United States|null|(41.475836,-90.69214),(41.60005,-90.69214),(41.60005,-90.502744),(41.475836,-90.502744),|people turn to social media as a way of helping those affected by #hurricaneharvey. @kwqcnews https://t.co/o3lahxfnj5
902396178171650048|2017-08-29 00:03:09|Texas|Baytown, TX|United States|null|(25.837092,-106.645646),(36.500695,-106.645646),(36.500695,-93.508131),(25.837092,-93.508131),|so tired y'all!  cannot sleep with all of this rain, thunder, & wind.  #harvey please go away! we don't need anymore #houstonflooding
902396501716070401|2017-08-29 00:04:26|Manhattan|Manhattan, NY|United States|null|(40.683935,-74.026675),(40.877483,-74.026675),(40.877483,-73.910408),(40.683935,-73.910408),|#hurricaneharvey absolutely needs our full attention but we can't just not pay attention to this...i'm baffled i ha… https://t.co/ygxrvvjbe3
902396649930096640|2017-08-29 00:05:01|The Dallas Morning News|Dallas, TX|United States|null|(32.775503,-96.806406),(32.775503,-96.806406),(32.775503,-96.806406),(32.775503,-96.806406),|on the omni in dallas tonight: texans helping texans #harvey https://t.co/qirviipthq
902396757535051776|2017-08-29 00:05:27|Largo|Tampa Metro Area, FL|United States|null|(27.865251,-82.849182),(27.943275,-82.849182),(27.943275,-82.696478),(27.865251,-82.696478),|@joelosteen is a man more concerned about his image & his money. he is no friend of the people in need in texas. he's poisonous #harvey2017
902396767504707584|2017-08-29 00:05:29|Ogden|Ogden, UT|United States|null|(41.149594,-112.025874),(41.286003,-112.025874),(41.286003,-111.904265),(41.149594,-111.904265),|post families in need of assistance on this thread so they can be logged for rescue. use # #harveyrescue #harveysos… https://t.co/jhmfjbrqys
902396773502738434|2017-08-29 00:05:31|Frankfort|United States|United States|null|(41.461658,-87.90755),(41.536996,-87.90755),(41.536996,-87.790306),(41.461658,-87.790306),|4 #trump 2say he timed th #arpaiopardon 2com out durin #hurricaneharvy high ratings is sickening.he's usin a human tragedy 2help his ratings
902396797011812352|2017-08-29 00:05:36|Houston|Texas, USA|United States|null|(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),|today was a very humbling experience, t so glad we were able to help today. pray for houston #harvey #allin… https://t.co/ftmng2ivlu
902396870126735361|2017-08-29 00:05:54|Castle Rock|Denver|United States|null|(39.322269,-104.92104),(39.451319,-104.92104),(39.451319,-104.773048),(39.322269,-104.773048),|help those affected by #hurricaneharvey. visit https://t.co/qqc1sx8f3d, call 1-800-red cross or text harvey to 90999 to make a $10 donation.
902397088008364037|2017-08-29 00:06:46|Ogden|Ogden, UT|United States|null|(41.149594,-112.025874),(41.286003,-112.025874),(41.286003,-111.904265),(41.149594,-111.904265),|we have animal shelters in need of donations & support. use # #harveyrescue #harveysos to connect people & resource… https://t.co/61qruzw2ao
902397291373371393|2017-08-29 00:07:34|Los Angeles|Glacier Bay Alaska|United States|null|(33.704538,-118.668404),(34.337041,-118.668404),(34.337041,-118.155409),(33.704538,-118.155409),|hey @toddchrisley have you contacted @joelosteen yet to see if he will open the doors to his church to help those in need from harvey?
902397308914028544|2017-08-29 00:07:38|Little Rock|Little Rock, AR|United States|null|(34.62595,-92.521595),(34.817822,-92.521595),(34.817822,-92.163049),(34.62595,-92.163049),|icymi: here's my full story on the @salvationarmyus of central arkansas helping #harvey evacuees   https://t.co/jtozmdjhdm
902397379051225089|2017-08-29 00:07:55|Houston|null|United States|null|(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),|same. harvey needs to go somewhere i done ate all of me and james ' rations lol 😂 https://t.co/07kpif3pd6
902397406469382146|2017-08-29 00:08:02|Toronto|Vancouver- LA|Canada|null|(43.403221,-79.639319),(43.855401,-79.639319),(43.855401,-78.90582),(43.403221,-78.90582),|my thoughts and prayers are with texas and those stuck in #hurricaneharvey thank god for those with boats helping strangers. more need help
902397457023295488|2017-08-29 00:08:14|Austin|Austin, TX|United States|null|(30.127892,-97.928935),(30.518799,-97.928935),(30.518799,-97.580513),(30.127892,-97.580513),|here's how to help the victims of hurricane harvey https://t.co/kkt26mdfv7 # via @huffpostimpact
902397769859698688|2017-08-29 00:09:28|Houston|@War|United States|null|(29.522325,-95.823268),(30.154665,-95.823268),(30.154665,-95.069705),(29.522325,-95.069705),|doing what i can/do 2 help..$  #kingzunited #maintainunity  ✊️✊🏿🌍✌🏽✌🏻💯 #houston #harvey #hurricaneharvey… https://t.co/sdutyybnht
902397915779485698|2017-08-29 00:10:03|Waterloo|Waterloo, IA|United States|null|(42.421196,-92.437083),(42.570459,-92.437083),(42.570459,-92.27324),(42.421196,-92.27324),|can the iowa national guard be sent to texas to help with the hurricane 😩😩
902397932984385537|2017-08-29 00:10:07|Los Angeles|Eagle Rock, CA|United States|null|(33.704538,-118.668404),(34.337041,-118.668404),(34.337041,-118.155409),(33.704538,-118.155409),|a few ways we can help out people affected by #hurricaneharvey https://t.co/gry2gtgpsn https://t.co/7zrixweitd
902398047333883904|2017-08-29 00:10:34|Milledgeville|cho boi|United States|null|(33.01887,-83.309808),(33.189701,-83.309808),(33.189701,-83.19672),(33.01887,-83.19672),|i might need to delete the twitter app till the hurricane is done bc my heart really can't take all these abandoned puppies
902398113092169728|2017-08-29 00:10:50|Texas|houston tx|United States|null|(25.837092,-106.645646),(36.500695,-106.645646),(36.500695,-93.508131),(25.837092,-93.508131),|volunteers needed at berry center, met church and other local cypress temporary shelters tomorrow! pls come and help!!! #harvey #houston
